Actor,Character
Casey Affleck,Robert Ford
Sam Shepard,Frank James
Mary-Louise Parker,Zee James
Reese Witherspoon,Lauren
Chris Pine,FDR Foster
Tom Hardy,Tuck
Til Schweiger,Heinrich
Johnny Depp,James 'Whitey' Bulger
Benedict Cumberbatch,Billy Bulger
Dakota Johnson,Lindsey Cyr
Joel Edgerton,John Connolly
Kevin Spacey,Prot
Jeff Bridges,Dr. Mark Powell
Mary McCormack,Rachel Powell
Alfre Woodard,Dr. Claudia Villars
Will Ferrell,Ron Burgundy
Christina Applegate,Veronica Corningstone
Paul Rudd,Brian Fantana
Steve Carell,Brick Tamland
Jay Hernandez,Paxton
Derek Richardson,Josh
Eythor Gudjonsson,Oli
Barbara Nedeljakova,Natalya
Daniel Radcliffe,Arthur Kipps
Janet McTeer,Mrs. Daily
Ciarán Hinds,Sam Daily
Emma Shorey,Fisher Girl
Hailee Steinfeld,Charlie
Jorge Lendeborg Jr.,Memo
John Cena,Agent Burns
Jason Drucker,Otis
Jessica Chastain,Annabel
Nikolaj Coster-Waldau,Lucas/Jeffrey
Megan Charpentier,Victoria
Isabelle Nélisse,Lilly
Lily James,Cinderella
Cate Blanchett,Stepmother
Richard Madden,Prince
Helena Bonham Carter,Fairy Godmother
Lewis Tan,Cole Young
Jessica McNamee,Sonya Blade
Josh Lawson,Kano
Joe Taslim,Bi-Han/Sub-Zero
George Clooney,Frank Walker
Britt Robertson,Casey Newton
Hugh Laurie,Nix
Raffey Cassidy,Athena
Luke Wilson,Joe Bauers
Maya Rudolph,Rita
Dax Shepard,Frito
Terry Crews,President Camacho
Hugh Grant,Will Freeman
Nicholas Hoult,Marcus Brewer
Toni Collette,Fiona Brewer
Sharon Small,Christine
Bruce Willis,RJ
Garry Shandling,Verne
Steve Carell,Hammy
Wanda Sykes,Stella
Jessica Chastain,Molly Bloom
Idris Elba,Charlie Jaffey
Kevin Costner,Larry Bloom
Michael Cera,Player X
Josh Hartnett,Eben Oleson
Melissa George,Stella Oleson
Danny Huston,Marlow
Ben Foster,The Stranger
Wesley Snipes,Blade
Kris Kristofferson,Whistler
Parker Posey,Danica Talos
Ryan Reynolds,Hannibal King
Tom Hanks,Robert Langdon
Felicity Jones,Sienna Brooks
Irrfan Khan,Harry Sims
Ben Foster,Bertrand Zobrist
Patrick Wilson,Josh Lambert
Rose Byrne,Renai Lambert
Barbara Hershey,Lorraine Lambert
Lin Shaye,Elise Rainier
Andy Samberg,Nyles
Cristin Milioti,Sarah
J.K. Simmons,Roy
Peter Gallagher,Howard
Thobias Thorwid,Lewis
Harris Dickinson,Carl
Charlbi Dean,Yaya
Jiannis Moustos,Driver
Kurt Russell,"Stuntman Mike (segment ""Death Proof"""
Rose McGowan,"Pam (segment ""Death Proof"""
Danny Trejo,"Machete (segment ""Planet Terror"""
Zoë Bell,"Zoë Bell (segment ""Death Proof"""
Dave Bautista,Scott Ward
Ella Purnell,Kate Ward
Ana de la Reguera,Maria Cruz
Omari Hardwick,Vanderohe
Toni Collette,Mary Daisy Dinkle
Philip Seymour Hoffman,Max Jerry Horovitz
Eric Bana,Damien Popodopolous
Barry Humphries,Narrator
Antonio Banderas,Puss in Boots
Salma Hayek,Kitty Softpaws
Harvey Guillén,Perrito
Florence Pugh,Goldilocks
Liam Hemsworth,Jake Morrison
Jeff Goldblum,David Levinson
Bill Pullman,President Whitmore
Maika Monroe,Patricia Whitmore
Matthew McConaughey,Mud
Tye Sheridan,Ellis
Jacob Lofland,Neckbone
Sam Shepard,Tom
Alexander Skarsgård,John Clayton/Tarzan
Rory J Saper,Young Tarzan (18 Years
Christian Stevens,Young Tarzan (5 Years
Christoph Waltz,Leon Rom
Jason Statham,Terry Leather
Saffron Burrows,Martine Love
Stephen Campbell Moore,Kevin Swain
Daniel Mays,Dave Shilling
Dwayne Johnson,Davis Okoye
Naomie Harris,Dr. Kate Caldwell
Malin Akerman,Claire Wyden
Jeffrey Dean Morgan,Harvey Russell
John C. Reilly,Ralph
Sarah Silverman,Vanellope
Gal Gadot,Shank
Taraji P. Henson,Yesss
Cameron Diaz,Joy McNally
Ashton Kutcher,Jack Fuller
Rob Corddry,Hater
Lake Bell,Tipper
Matt Damon,Sir Jean de Carrouges
Adam Driver,Jacques Le Gris
Jodie Comer,Marguerite de Carrouges
Harriet Walter,Nicole de Carrouges
Joaquin Phoenix,Freddie Quell
Philip Seymour Hoffman,Lancaster Dodd
Amy Adams,Peggy Dodd
Jesse Plemons,Val Dodd
John Cusack,Adam
Rob Corddry,Lou
Craig Robinson,Nick
Clark Duke,Jacob
Jet Li,Nameless
Tony Leung Chiu-wai,Broken Sword
Maggie Cheung,Flying Snow
Ziyi Zhang,Moon
Frances McDormand,Fern
David Strathairn,Dave
Linda May,Linda
Gay DeForest,Gay
Dwayne Johnson,Roadblock
Channing Tatum,Duke
Adrianne Palicki,Jaye
Lee Byung-hun,Storm Shadow
Charlize Theron,Andy
KiKi Layne,Nile
Matthias Schoenaerts,Booker
Marwan Kenzari,Joe
Vin Diesel,Xander Cage
Asia Argento,Yelena
Marton Csokas,Yorgi
Samuel L. Jackson,Agent Augustus Gibbons
A.J. Cook,Kimberly Corman
Ali Larter,Clear Rivers
Tony Todd,Mr. Bludworth
Michael Landes,Thomas Burke
Jackie Chan,Lee
Chris Tucker,Carter
Max von Sydow,Reynard
Hiroyuki Sanada,Kenji
Ted Levine,Big Bob
Kathleen Quinlan,Ethel
Dan Byrd,Bobby
Emilie de Ravin,Brenda
Ryan Reynolds,Detective Pikachu
Justice Smith,Tim Goodman
Kathryn Newton,Lucy Stevens
Bill Nighy,Howard Clifford
Mark Wahlberg,Mike Williams
Kurt Russell,Jimmy Harrell
Douglas M. Griffin,Captain Landry
James DuMont,O'Bryan
Jason Bateman,Nick Hendricks
Jason Sudeikis,Kurt Buckman
Charlie Day,Dale Arbus
Jack O'Connell,Louis Zamperini
Miyavi,Watanabe
Domhnall Gleeson,Phil
Garrett Hedlund,Fitzgerald
Jonah Hill,Aaron Green
Russell Brand,Aldous Snow
Elisabeth Moss,Daphne Binks
Rose Byrne,Jackie Q
Will Smith,Lt. Mike Lowrey
Martin Lawrence,Lt. Marcus Burnett
Vanessa Hudgens,Kelly
Alexander Ludwig,Dorn
Aaron Eckhart,Ssgt. Michael Nantz
Michelle Rodriguez,TSgt. Elena Santos
Bridget Moynahan,Michele
Ramón Rodríguez,2nd Lt. William Martinez
Sean Connery,Allan Quatermain
Stuart Townsend,Dorian Gray
Peta Wilson,Mina Harker
Jason Flemyng,Dr. Henry Jekyll/Edward Hyde
Thomasin McKenzie,Eloise
Anya Taylor-Joy,Sandie
Matt Smith,Jack
Diana Rigg,Ms. Collins
Edward Norton,Monty Brogan
Barry Pepper,Francis Xavier Slaughtery
Philip Seymour Hoffman,Jacob Elinsky
Rosario Dawson,Naturelle Riviera
Brad Pitt,Mr. O'Brien
Sean Penn,Jack
Jessica Chastain,Mrs. O'Brien
Hunter McCracken,Young Jack
Michael Keaton,Ray Kroc
Nick Offerman,Dick McDonald
John Carroll Lynch,Mac McDonald
Linda Cardellini,Joan Smith
Ginnifer Goodwin,Gigi
Jennifer Aniston,Beth
Jennifer Connelly,Janine
Morgan Lily,5 Year Old Girl
Jerry Seinfeld,Barry B. Benson
Renée Zellweger,Vanessa Bloome
Matthew Broderick,Adam Flayman
Patrick Warburton,Ken
Jacob Tremblay,Auggie
Owen Wilson,Nate
Izabela Vidovic,Via
Julia Roberts,Isabel
John Cho,David Kim
Debra Messing,Detective Vick
Joseph Lee,Peter
Michelle La,Margot
Seth Rogen,Zack
Elizabeth Banks,Miri
Craig Robinson,Delaney
Gerry Bednob,Mr. Surya
Sandra Bullock,Ashburn
Michael McDonald,Julian
Melissa McCarthy,Mullins
Demián Bichir,Hale
Bruce Willis,Frank
Helen Mirren,Victoria
John Malkovich,Marvin
Anthony Hopkins,Bailey
Brad Pitt,Jack Conrad
Margot Robbie,Nellie LaRoy
Jean Smart,Elinor St. John
Olivia Wilde,Ina Conrad
Rachel Weisz,Abigail Salmon
Mark Wahlberg,Jack Salmon
Saoirse Ronan,Susie Salmon
Susan Sarandon,Grandma Lynn
Adam Sandler,Barry Egan
Emily Watson,Lena Leonard
Philip Seymour Hoffman,Dean Trumbell
Jason Andrews,Operator Carter
Tom Cruise,Jack Reacher
Cobie Smulders,Turner
Aldis Hodge,Espin
Robert Knepper,Gen. Harkness
Ralph Fiennes,Orlando Oxford
Gemma Arterton,Polly
Rhys Ifans,Grigori Rasputin
Harris Dickinson,Conrad Oxford
Tom Hanks,Otto
Mariana Treviño,Marisol
Rachel Keller,Sonya
John Higgins,Hardware Store Clerk
Kim Min-hee,Lady Hideko
Ha Jung-woo,Count Fujiwara
Cho Jin-woong,Uncle Kouzuki
Moon So-ri,Aunt of Lady Hideko
Milla Jovovich,Alice
Ali Larter,Claire Redfield
Wentworth Miller,Chris Redfield
Kim Coates,Bennett
Jennifer Lawrence,Maddie Barker
Andrew Barth Feldman,Percy Becker
Laura Benanti,Allison Becker
Matthew Broderick,Laird Becker
Michael Fassbender,Steve Jobs
Kate Winslet,Joanna Hoffman
Seth Rogen,Steve Wozniak
Jeff Daniels,John Sculley
Christian Bale,Moses
Joel Edgerton,Ramses
Ben Kingsley,Nun
Sigourney Weaver,Tuya
Bruce Willis,Greer
Radha Mitchell,Peters
Ving Rhames,The Prophet
Rosamund Pike,Maggie
Sean Penn,Harvey Milk
Josh Brolin,Dan White
Emile Hirsch,Cleve Jones
Diego Luna,Jack Lira
Timothy Olyphant,Agent 47
Dougray Scott,Mike Whittier
Olga Kurylenko,Nika Boronina
Robert Knepper,Yuri Marklov
Keanu Reeves,Klaatu
Jennifer Connelly,Helen Benson
Kathy Bates,Regina Jackson
Jaden Smith,Jacob Benson
Aaron Paul,Tobey Marshall
Dominic Cooper,Dino Brewster
Imogen Poots,Julia Maddon
Kid Cudi,Benny
Trey Parker,Gary Johnston/Joe/Kim Jong Il/Hans Blix/Carson/Matt Damon/Drunk in Bar/Tim Robbins/Sean Penn/Michael Moore/Helen Hunt/Susan Sarandon/Others
Matt Stone,Chris/George Clooney/Danny Glover/Ethan Hawke/Additional Voices
Elle Russ,Various
Kristen Miller,Lisa
Ward Horton,John
Annabelle Wallis,Mia
Alfre Woodard,Evelyn
Tony Amendola,Father Perez
Vin Diesel,Riddick
Karl Urban,Vaako
Katee Sackhoff,Dahl
Jordi Mollà,Santana
Amanda Bynes,Viola
Laura Ramsey,Olivia Lennox
Channing Tatum,Duke
Vinnie Jones,Dinklage
Salman Khan,Radhe
Disha Patani,Diya
Randeep Hooda,Rana
Jackie Shroff,Avinash
Will Ferrell,Chazz Michael Michaels
Jon Heder,Jimmy MacElroy
Amy Poehler,Fairchild Van Waldenberg
Will Arnett,Stranz Van Waldenberg
Reese Witherspoon,Susan Murphy/Ginormica
Rainn Wilson,Gallaxhar
Stephen Colbert,President Hathaway
Seth Rogen,B.O.B.
Jake Gyllenhaal,Master Sergeant John Kinley
Dar Salim,Ahmed
Sean Sagar,Charlie 'Jizzy' Crow
Jason Wong,Joshua 'JJ' Jung
Anna Faris,Cindy
Marlon Wayans,Shorty
Antony Acker,Exorcist Party Goer
Mark Barrett,Exorcist Party Goer
Jason Statham,Frank Martin
Robert Knepper,Johnson
Natalya Rudakova,Valentina
François Berléand,Tarconi
Oscar Isaac,Mikael Boghosian
Charlotte Le Bon,Ana Khesarian
Christian Bale,Chris Myers
Daniel Giménez Cacho,Reverend Dikran Antreassian
Eddie Redmayne,Newt Scamander
Jude Law,Albus Dumbledore
Ezra Miller,Credence Barebone
Dan Fogler,Jacob Kowalski
Aamir Khan,Laal Singh Chaddha
Ahmad Ibn Umar,young Laal
Kareena Kapoor,Rupa D'souza
Josh Hutcherson,Jess Aarons
AnnaSophia Robb,Leslie Burke
Zooey Deschanel,Ms. Edmunds
Robert Patrick,Jack Aarons
Colin Farrell,Alexander
Anthony Hopkins,Old Ptolemy
Rosario Dawson,Roxane
Angelina Jolie,Olympias
Will Arnett,Batman/Bruce Wayne
Michael Cera,Robin/Dick Grayson
Rosario Dawson,Batgirl/Barbara Gordon
Ralph Fiennes,Alfred Pennyworth
Henry Cavill,Theseus
Mickey Rourke,King Hyperion
John Hurt,Old Man
Stephen Dorff,Stavros
Katherine Heigl,Jane
James Marsden,Kevin
Malin Akerman,Tess
Brian Kerwin,Hal
Clive Owen,Arthur
Stephen Dillane,Merlin
Keira Knightley,Guinevere
Ioan Gruffudd,Lancelot
Paul Giamatti,Paul Hunham
Da'Vine Joy Randolph,Mary Lamb
Dominic Sessa,Angus Tully
Carrie Preston,Miss Lydia Crane
Matt Damon,Sonny Vaccaro
Jason Bateman,Rob Strasser
Ben Affleck,Phil Knight
Chris Messina,David Falk
Demián Bichir,Father Burke
Taissa Farmiga,Sister Irene
Jonas Bloquet,Frenchie
Bonnie Aarons,The Nun
Rowan Atkinson,Johnny English
John Malkovich,Pascal Sauvage
Natalie Imbruglia,Lorna Campbell
Tasha de Vasconcelos,Exotic Woman
Kelly Marie Tran,Raya
Awkwafina,Sisu
Gemma Chan,Namaari
Izaac Wang,Boun
Jason Bateman,Simon
Rebecca Hall,Robyn
Joel Edgerton,Gordo
Allison Tolman,Lucy
Neve Campbell,Sidney Prescott
Courteney Cox,Gale Weathers-Riley
David Arquette,Dewey Riley
Lucy Hale,Sherrie
Noah Ringer,Aang
Nicola Peltz Beckham,Katara
Jackson Rathbone,Sokka
Dev Patel,Prince Zuko
Samuel L. Jackson,Coach Ken Carter
Rick Gonzalez,Timo Cruz
Robert Ri'chard,Damien Carter
Rob Brown,Kenyon Stone
John David Washington,Joshua
Madeleine Yuna Voyles,Alphie
Gemma Chan,Maya
Allison Janney,Colonel Howell
George Clooney,Michael Clayton
Tilda Swinton,Karen Crowder
Tom Wilkinson,Arthur Edens
Michael O'Keefe,Barry Grissom
Ethan Hawke,Jesse
Julie Delpy,Celine
Seamus Davey-Fitzpatrick,Hank
Ariane Labed,Anna
Jamie Lee Curtis,Laurie Strode
Judy Greer,Karen
Andi Matichak,Allyson
James Jude Courtney,The Shape
Ray Winstone,Beowulf/Golden Man/Dragon
Crispin Glover,Grendel
Angelina Jolie,Grendel's Mother
Robin Wright,Wealthow
Jason Statham,Arthur Bishop
Ben Foster,Steve McKenna
Donald Sutherland,Harry McKenna
Tony Goldwyn,Dean
Tom Holland,Ian Lightfoot
Chris Pratt,Barley Lightfoot
Julia Louis-Dreyfus,Laurel Lightfoot
Octavia Spencer,The Manticore
Adam Sandler,Lenny Feder
Kevin James,Eric Lamonsoff
Chris Rock,Kurt McKenzie
David Spade,Marcus Higgins
Ryan Reynolds,Will Hayes
Rachel Weisz,Summer Hartley
Abigail Breslin,Maya Hayes
An Nguyen,Ad Exec
Adam Sandler,Nick Spitz
Jennifer Aniston,Audrey Spitz
Luke Evans,Charles Cavendish
Terence Stamp,Malcolm Quince
Steve Carell,Phil Foster
Tina Fey,Claire Foster
Mark Wahlberg,Holbrooke
Taraji P. Henson,Detective Arroyo
Jodie Foster,Kyle Pratt
Peter Sarsgaard,Carson
Sean Bean,Captain Rich
Kate Beahan,Stephanie
N.T. Rama Rao Jr.,Komaram Bheem
Ram Charan,Alluri Sitarama Raju
Ajay Devgn,Venkata Rama Raju
Alia Bhatt,Sita
Benicio Del Toro,Alejandro
Josh Brolin,Matt Graver
Isabela Merced,Isabel Reyes
Jeffrey Donovan,Steve Forsing
Mark Wahlberg,Cade Yeager
Anthony Hopkins,Sir Edmund Burton
Josh Duhamel,Colonel William Lennox
Laura Haddock,Vivian Wembly
Keanu Reeves,Kai
Hiroyuki Sanada,Oishi
Kô Shibasaki,Mika
Tadanobu Asano,Lord Kira
Thomas Jane,Frank Castle
John Travolta,Howard Saint
Samantha Mathis,Maria Castle
Laura Harring,Livia Saint
Brendan Fraser,Rick O'Connell
Jet Li,Emperor
Maria Bello,Evelyn O'Connell
Michelle Yeoh,Zi Yuan
Himesh Patel,Jack Malik
Lily James,Ellie Appleton
Sophia Di Martino,Carol
Ellise Chappell,Lucy
Brad Pitt,Max Vatan
Marion Cotillard,Marianne Beauséjour
Jared Harris,Frank Heslop
Vincent Ebrahim,Driver in Desert
Anika Noni Rose,Tiana
Keith David,Dr. Facilier
Oprah Winfrey,Eudora
Bruno Campos,Prince Naveen
Anna Kendrick,Beca
Rebel Wilson,Fat Amy
Hailee Steinfeld,Emily
Brittany Snow,Chloe
Tim Blake Nelson,"Buster Scruggs (segment ""The Ballad of Buster Scruggs"""
Willie Watson,"The Kid (segment ""The Ballad of Buster Scruggs"""
Clancy Brown,"Surly Joe (segment ""The Ballad of Buster Scruggs"""
Danny McCarthy,"Curly Joe's Brother (segment ""The Ballad of Buster Scruggs"""
Gerard Butler,Mike Banning
Aaron Eckhart,Benjamin Asher
Morgan Freeman,VP Allan Trumbull
Angela Bassett,Lynne Jacobs
Mickey Rourke,Marv
Jessica Alba,Nancy
Josh Brolin,Dwight
Joseph Gordon-Levitt,Johnny
Ewan McGregor,The Ghost
Pierce Brosnan,Adam Lang
Olivia Williams,Ruth Lang
Jon Bernthal,Rick Ricardelli
Dylan O'Brien,Thomas
Ki Hong Lee,Minho
Kaya Scodelario,Teresa
Thomas Brodie-Sangster,Newt
Emilia Jones,Ruby Rossi
Marlee Matlin,Jackie Rossi
Troy Kotsur,Frank Rossi
Daniel Durant,Leo Rossi
Yalitza Aparicio,Cleo
Marina de Tavira,Sra. Sofía
Diego Cortina Autrey,Toño
Carlos Peralta,Paco
Anne Hathaway,Emma
Jim Sturgess,Dexter
Patricia Clarkson,Alison
Tom Mison,Callum
Ken Watanabe,General Kuribayashi
Kazunari Ninomiya,Saigo
Tsuyoshi Ihara,Baron Nishi
Ryô Kase,Shimizu
Nicolas Cage,Balthazar
Jay Baruchel,Dave
Alfred Molina,Horvath
Teresa Palmer,Becky
Tilda Swinton,Eva Khatchadourian
John C. Reilly,Franklin
Antonio Banderas,El Mariachi
Salma Hayek,Carolina
Johnny Depp,Sands
Willem Dafoe,Barillo
Marlon Wayans,Marcus Copeland
Shawn Wayans,Kevin Copeland
Busy Philipps,Karen
Maitland Ward,Brittany Wilson
Emma Thompson,P.L. Travers
Tom Hanks,Walt Disney
Annie Rose Buckley,Ginty
Colin Farrell,Travers Goff
Ari McCarthy,Cole
Hamish Phillips,Tyson
Kit Erhart-Bruce,Peck
Sarah Brokensha,Fiona
Gael García Bernal,Guy
Vicky Krieps,Prisca
Rufus Sewell,Charles
Alex Wolff,Trent Aged 15
Jessica Rothe,Tree Gelbman
Israel Broussard,Carter Davis
Ruby Modine,Lori Spengler
Charles Aitken,Gregory Butler
Ryan Reynolds,Paul Conroy
José Luis García-Pérez,Jabir
Robert Paterson,Dan Brenner
Stephen Tobolowsky,Alan Davenport
Jesse Eisenberg,James Brennan
Kristen Stewart,Em Lewin
Ryan Reynolds,Mike Connell
Martin Starr,Joel
Antonio Banderas,Robert Ledgard
Elena Anaya,Vera Cruz
Jan Cornet,Vicente
Marisa Paredes,Marilia
Anna Kendrick,Stephanie Smothers
Blake Lively,Emily Nelson
Henry Golding,Sean Townsend
Andrew Rannells,Darren
Robert Redford,Nathan Muir
Brad Pitt,Tom Bishop
Catherine McCormack,Elizabeth Hadley
Stephen Dillane,Charles Harker
Patrick Wilson,Jeff Kohlver
Elliot Page,Hayley Stark
Sandra Oh,Judy Tokuda
Odessa Rae,Janelle Rogers
Cate Blanchett,Gran Mamare
Matt Damon,Kôichi
Liam Neeson,Fujimoto
Tomoko Yamaguchi,Risa
Owen Wilson,John
Jennifer Aniston,Jenny
Eric Dane,Sebastian
Kathleen Turner,Ms. Kornblut
Bradley Cooper,Stanton Carlisle
Cate Blanchett,Dr. Lilith Ritter
Toni Collette,Zeena the Seer
Willem Dafoe,Clem Hoatley
Rhona Mitra,Sonja
Michael Sheen,Lucian
Bill Nighy,Viktor
Steven Mackintosh,Tannis
Julie Andrews,Queen Clarisse Renaldi
Anne Hathaway,Mia Thermopolis
Hector Elizondo,Joe
Heather Matarazzo,Lilly Moscovitz
Jeff Bridges,Father Daniel Flynn/Dock O'Kelly
Cynthia Erivo,Darlene Sweet
Dakota Johnson,Emily Summerspring
Jon Hamm,Laramie Seymour Sullivan/Dwight Broadbeck
Ben Barnes,Caspian
Skandar Keynes,Edmund Pevensie
Georgie Henley,Lucy Pevensie
Will Poulter,Eustace Scrubb
Morgan Freeman,Nelson Mandela
Matt Damon,Francois Pienaar
Tony Kgoroge,Jason Tshabalala
Patrick Mofokeng,Linga Moonsamy
Keira Knightley,Gretta
Mark Ruffalo,Dan
Adam Levine,Dave
Hailee Steinfeld,Violet
Tobin Bell,Jigsaw/John
Scott Patterson,Agent Strahm
Louis Ferreira,Art
Costas Mandylor,Hoffman
Nicolas Cage,Cris Johnson
Julianne Moore,Callie Ferris
Jessica Biel,Liz Cooper
Thomas Kretschmann,Mr. Smith
Neve Campbell,Sidney Prescott
Courteney Cox,Gale Weathers
David Arquette,Dewey Riley
Melissa Barrera,Sam Carpenter
Channing Tatum,Jimmy Logan
Adam Driver,Clyde Logan
Daniel Craig,Joe Bang
Farrah Mackenzie,Sadie Logan
Jeremy Irvine,Albert Narracott
Emily Watson,Rose Narracott
David Thewlis,Lyons
Benedict Cumberbatch,Maj. Jamie Stewart
Ben Schwartz,Sonic
James Marsden,Tom
Jim Carrey,Dr. Robotnik
Tika Sumpter,Maddie
Vin Diesel,Dominic Toretto
Michelle Rodriguez,Letty
Jordana Brewster,Mia
Tyrese Gibson,Roman
James Franco,Tommy/'Johnny'
Dave Franco,Greg/'Mark'
Ari Graynor,Juliette/'Lisa'
Seth Rogen,Sandy
Johnny Depp,Inspector Frederick Abberline
Heather Graham,Mary Kelly
Ian Holm,Sir William Gull
Robbie Coltrane,Sergeant Peter Godley
Dwayne Johnson,Hercules
John Hurt,Lord Cotys
Ian McShane,Amphiaraus
Joseph Fiennes,King Eurystheus
Christian Bale,Dick Cheney
Amy Adams,Lynne Cheney
Steve Carell,Donald Rumsfeld
Sam Rockwell,George W. Bush
Ewan McGregor,Rodney Copperbottom
Halle Berry,Cappy
Mel Brooks,Bigweld
Robin Williams,Fender
Léa Seydoux,Emma
Adèle Exarchopoulos,Adèle
Salim Kechiouche,Samir
Aurélien Recoing,Père Adèle
Sandra Bullock,Loretta/Angela
Channing Tatum,Alan/Dash
Daniel Radcliffe,Abigail Fairfax
Da'Vine Joy Randolph,Beth Hatten
Joseph Gordon-Levitt,Edward Snowden
Shailene Woodley,Lindsay Mills
Melissa Leo,Laura Poitras
Zachary Quinto,Glenn Greenwald
Oscar Isaac,Llewyn Davis
Carey Mulligan,Jean
John Goodman,Roland Turner
Garrett Hedlund,Johnny Five
Frank Grillo,Sergeant
Carmen Ejogo,Eva Sanchez
Zach Gilford,Shane
Kiele Sanchez,Liz
Belén Rueda,Laura
Fernando Cayo,Carlos
Roger Príncep,Simón
Mabel Rivera,Pilar
Seth Rogen,Britt Reid/The Green Hornet
Jay Chou,Kato
Christoph Waltz,Chudnofsky
Cameron Diaz,Lenore Case
Timothée Chalamet,Willy Wonka
Gustave Die,Ship's Engineer
Murray McArthur,Ship's Captain
Paul G. Raymond,Map Seller
Adam Sandler,Brenner
Kevin James,President Will Cooper
Michelle Monaghan,Violet
Peter Dinklage,Eddie
Charlize Theron,Aileen
Christina Ricci,Selby
Bruce Dern,Thomas
Lee Tergesen,Vincent Corey
Meryl Streep,Kay Graham
Tom Hanks,Ben Bradlee
Sarah Paulson,Tony Bradlee
Bob Odenkirk,Ben Bagdikian
Lady Gaga,Patrizia Reggiani
Adam Driver,Maurizio Gucci
Al Pacino,Aldo Gucci
Jeremy Irons,Rodolfo Gucci
Tom Hardy,Bob
Noomi Rapace,Nadia
James Gandolfini,Cousin Marv
Matthias Schoenaerts,Eric Deeds
Elijah Wood,Matt Buckner
Charlie Hunnam,Pete Dunham
Claire Forlani,Shannon Dunham
Marc Warren,Steve Dunham
Ziyi Zhang,Sayuri
Ken Watanabe,Chairman
Michelle Yeoh,Mameha
Suzuka Ohgo,Chiyo
Miles Teller,Sutter
Shailene Woodley,Aimee
Kyle Chandler,Tommy
Jennifer Jason Leigh,Sara
Steve Carell,Gru/Dru
Kristen Wiig,Lucy
Trey Parker,Balthazar Bratt
Miranda Cosgrove,Margo
Benjamin Walker,Abraham Lincoln
Rufus Sewell,Adam
Dominic Cooper,Henry Sturges
Anthony Mackie,Will Johnson
Kate Beckinsale,Selene
Michael Ealy,Detective Sebastian
India Eisley,Eve
Stephen Rea,Dr. Jacob Lane
Joaquin Phoenix,Napoleon Bonaparte
Vanessa Kirby,Josephine Bonaparte
Tahar Rahim,Paul Barras
Rupert Everett,Duke of Wellington
Nicolas Cage,Nick Cage/Nicky
Pedro Pascal,Javi Gutierrez
Tiffany Haddish,Vivian
Sharon Horgan,Olivia
Jason Mewes,Jay
Kevin Smith,Silent Bob
Amy Noble,Baby Bob's Mother
Harley Quinn Smith,Baby Silent Bob
Russell Crowe,Cal McAffrey
Rachel McAdams,Della Frye
Ben Affleck,Stephen Collins
Helen Mirren,Cameron Lynne
Tom Hardy,Ivan Locke
Olivia Colman,Bethan
Ruth Wilson,Katrina
Andrew Scott,Donal
Scarlett Johansson,The Female
Jeremy McWilliams,The Bad Man
Lynsey Taylor Mackay,The Dead Woman
Dougie McConnell,Pick-Up Man
Mark Wahlberg,Bobby Mercer
Tyrese Gibson,Angel Mercer
André 3000,Jeremiah Mercer
Garrett Hedlund,Jack Mercer
Dennis Quaid,Payton
Ben Foster,Bower
Cam Gigandet,Gallo
Antje Traue,Nadia
Halle Bailey,Ariel
Jonah Hauer-King,Eric
Melissa McCarthy,Ursula
Javier Bardem,King Triton
Anna Faris,Cindy
Charlie Sheen,Tom
Regina Hall,Brenda Meeks
Pamela Anderson,Becca
Jason Statham,Chev Chelios
Amy Smart,Eve
Clifton Collins Jr.,El Huron
Dwight Yoakam,Doc Miles
Nicole Kidman,Grace Margaret Mulligan
